"Story","Title","Result","Date","Stability","Duration (s)"
"Test case04w PO","Boton convocatorias","SUCCESS","2020-05-03T22:54:25.9964168-05:00[America/Lima]","0.0","18.71"
"Test case02w PO","Boton que es","SUCCESS","2020-05-03T22:54:26.0747847-05:00[America/Lima]","0.0","20.14"
"Test case01w PO","Boton empleo","SUCCESS","2020-05-03T22:54:26.0762722-05:00[America/Lima]","0.0","18.99"
"Test case06w PO","Boton prepararse","SUCCESS","2020-05-03T22:54:26.0782563-05:00[America/Lima]","0.0","24.69"
"Test case13w PO","Busqueda palabras claves","SUCCESS","2020-05-03T22:54:48.3437706-05:00[America/Lima]","0.0","19.83"
"Test case14w PO","Busqueda ubicacion","SUCCESS","2020-05-03T22:54:48.5039788-05:00[America/Lima]","0.0","21.69"
"Test case15w PO","Redireccion modelo calidad","SUCCESS","2020-05-03T22:54:49.3536264-05:00[America/Lima]","0.0","23.94"
"Test case16w PO","Redireccion diferencia calidad","SUCCESS","2020-05-03T22:54:53.6073834-05:00[America/Lima]","0.0","27.48"
"Test case17w PO","Redireccio papel ing","SUCCESS","2020-05-03T22:55:09.3910801-05:00[America/Lima]","0.0","22.28"
"Test case18w PO","Redireccion software economia","SUCCESS","2020-05-03T22:55:11.4926891-05:00[America/Lima]","0.0","28.66"
"Test case19w PO","Redireccion errores","SUCCESS","2020-05-03T22:55:15.1878762-05:00[America/Lima]","0.0","34.22"
"Test case20w PO","Redireccion calidad soft","SUCCESS","2020-05-03T22:55:22.6190812-05:00[America/Lima]","0.0","33.57"
"Test case33w PO","Redireccion servicio cliente","ERROR","2020-05-03T22:55:32.8714783-05:00[America/Lima]","0.0","31.14"
"Test case34w PO","Redireccion up","SUCCESS","2020-05-03T22:55:41.5389877-05:00[America/Lima]","0.0","19.41"
